id	gene_short_name	locus	normal_FPKM	sorafenib-resistant_FPKM
XLOC_000001	DDX11L1	chr1:11873-269902	0	0
XLOC_000002	MIR1302-10	chr1:11873-269902	0	0
XLOC_000003	OR4F5	chr1:11873-269902	0	0
XLOC_000004	LOC729737	chr1:11873-269902	0.0641503	1.7135
XLOC_000005	FAM87B	chr1:817370-819834	0.0306629	0.0263031
XLOC_000006	-	chr1:824443-826012	0.130797	0.309495
XLOC_000007	LINC01128	chr1:827578-859446	2.33077	2.47719
XLOC_000008	SAMD11	chr1:925740-959299	0.0236773	0.353692
XLOC_000009	"KLHL17,PLEKHN1"	chr1:960586-982117	6.55737	2.88629
XLOC_000010	ISG15	chr1:1013466-1014539	195.364	174.226
XLOC_000011	AGRN	chr1:1020089-1056119	28.1402	48.9356
XLOC_000012	-	chr1:1060357-1067367	2.74523	3.0383
XLOC_000013	LINC01342	chr1:1126458-1161906	0.332173	0.598052
XLOC_000014	LINC01342	chr1:1126458-1161906	0.33418	0.0809149
XLOC_000015	LINC01342	chr1:1126458-1161906	0.21421	0.0497794
XLOC_000016	MIR200B	chr1:1167103-1167198	0	0
XLOC_000017	"MIR200A,MIR429"	chr1:1167862-1170337	1.98764	0.0938564
XLOC_000018	TTLL10	chr1:1173905-1197933	0.0379269	0.0168965
XLOC_000019	B3GALT6	chr1:1232248-1235040	15.4457	15.1512
XLOC_000020	-	chr1:1273998-1279391	1.07047	2.01152
XLOC_000021	SCNN1D	chr1:1280435-1292029	6.73649	4.51551
XLOC_000022	PUSL1	chr1:1308359-1324687	25.9969	23.0159
XLOC_000023	CPTP	chr1:1324762-1328896	27.8596	35.1526
XLOC_000024	TAS1R3	chr1:1331345-1349157	1.92802	0.188638
XLOC_000025	MXRA8	chr1:1351433-1363541	1.45352	1.19338
XLOC_000026	LOC148413	chr1:1385710-1410653	15.932	10.3021
XLOC_000027	TMEM88B	chr1:1426127-1427787	1.97144	0.156585
XLOC_000028	VWA1	chr1:1428196-1445229	38.6666	54.9977
XLOC_000029	"ATAD3B,ATAD3C"	chr1:1449688-1496202	19.3953	12.0422
XLOC_000030	ATAD3A	chr1:1512142-1534687	22.9287	20.6388
XLOC_000031	MIB2	chr1:1613389-1630610	15.1246	16.3672
XLOC_000032	"MMP23A,MMP23B"	chr1:1632180-1634654	1.20258	0.5562
XLOC_000033	MMP23A	chr1:1635225-1746519	0	0
XLOC_000034	CALML6	chr1:1914826-1917294	0.175688	0.38085
XLOC_000035	GABRD	chr1:2019328-2030753	0.327855	0.917737
XLOC_000036	PRKCZ	chr1:2050469-2213238	9.949	5.62079
XLOC_000037	SKI	chr1:2228694-2310213	8.31624	8.32388
XLOC_000038	RER1	chr1:2391774-2413789	37.7514	29.6428
XLOC_000039	PLCH2	chr1:2467458-2505530	0.226175	0.182785
XLOC_000040	TNFRSF14	chr1:2549654-2565622	20.5668	26.7432
XLOC_000041	LOC100996583	chr1:2566534-2584534	0.972473	0.286254
XLOC_000042	FAM213B	chr1:2586459-2633042	20.9817	14.8664
XLOC_000043	ACTRT2	chr1:3021481-3022903	0	0
XLOC_000044	PRDM16	chr1:3069177-3438621	0.081528	0.0798691
XLOC_000045	MIR4251	chr1:3069177-3438621	0	0
XLOC_000046	ARHGEF16	chr1:3454582-3481113	16.6999	8.28414
XLOC_000047	TPRG1L	chr1:3624991-3630130	38.3035	33.0706
XLOC_000048	TP73	chr1:3652564-3747403	0.351144	1.86803
XLOC_000049	CCDC27	chr1:3752400-3771645	0	0
XLOC_000050	SMIM1	chr1:3772760-3775982	7.81648	10.0199
XLOC_000051	DFFB	chr1:3857266-3885429	1.62465	0.995246
XLOC_000052	LINC01134	chr1:3900375-3917500	1.2819	0.888092
XLOC_000053	LINC01346	chr1:3940611-3952583	0	0
XLOC_000054	LOC284661	chr1:4412050-4424684	0	0
XLOC_000055	AJAP1	chr1:4655044-4783791	0.0634065	0.0155998
XLOC_000056	MIR4417	chr1:5564070-5564143	0	0
XLOC_000057	KCNAB2	chr1:5862807-6101193	2.49776	3.37649
XLOC_000058	RNF207	chr1:6206101-6235984	2.43617	1.76512
XLOC_000059	LINC00337	chr1:6236239-6239442	0.217297	0.0972252
XLOC_000060	HES3	chr1:6244191-6245578	0	0
